coding_system,code,variable_name,event_definition,concept,concept_name,tags,system,event_abbreviation,type
ICD9CMP,008.09,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,008.09,I_BACTERIALINFEC_AESI,Bacterial infections,C0494024,Other intestinal Escherichia coli infections,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,008.4,I_BACTERIALINFEC_AESI,Bacterial infections,C0489951,Other specified bacterial intestinal infections,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,008.4,I_CLOSTRIDIUMD_AESI,C difficile,C0489951,Other specified bacterial intestinal infections,possible,I,CLOSTRIDIUMD,AESI
ICD9CMP,008.41,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,008.42,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,008.43,I_BACTERIALINFEC_AESI,Bacterial infections,C0275982,Enteric campylobacteriosis,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,008.44,I_BACTERIALINFEC_AESI,Bacterial infections,C0238528,Infection by Yersinia enterocolitica,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,008.45,I_BACTERIALINFEC_AESI,Bacterial infections,C0494025,Intestinal infection due to clostridium difficile,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,008.45,I_CLOSTRIDIUMD_AESI,C difficile,C0494025,Intestinal infection due to clostridium difficile,narrow,I,CLOSTRIDIUMD,AESI
ICD9CMP,008.46,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,008.47,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,008.49,I_BACTERIALINFEC_AESI,Bacterial infections,C0489951,Other specified bacterial intestinal infections,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,008.49,I_CLOSTRIDIUMD_AESI,C difficile,C0489951,Other specified bacterial intestinal infections,possible,I,CLOSTRIDIUMD,AESI
ICD9CMP,008.5,I_CLOSTRIDIUMD_AESI,C difficile,C0152516,Bacterial enteritis,possible,I,CLOSTRIDIUMD,AESI
ICD9CMP,010.0,I_BACTERIALINFEC_AESI,Bacterial infections,C0152545,Primary tuberculosis,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,010.0,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,010.0,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,010.00,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,010.00,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,010.01,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,010.01,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,010.02,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,010.02,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,010.03,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,010.03,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,010.04,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,010.04,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,010.05,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,010.05,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,010.06,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,010.06,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,010.1,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,010.1,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,010.10,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,010.10,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,010.11,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,010.11,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,010.12,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,010.12,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,010.13,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,010.13,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,010.14,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,010.14,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,010.15,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,010.15,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,010.16,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,010.16,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,010.8,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,010.8,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,010.80,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,010.80,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,010.81,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,010.81,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,010.82,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,010.82,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,010.83,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,010.83,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,010.84,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,010.84,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,010.85,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,010.85,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,010.86,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,010.86,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,010.9,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,010.9,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,010.90,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,010.90,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,010.91,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,010.91,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,010.92,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,010.92,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,010.93,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,010.93,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,010.94,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,010.94,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,010.95,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,010.95,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,010.96,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,010.96,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,011.0,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,011.0,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,011.0,I_TUBERCULOSIS_COV,Tuberculosis,-,-,narrow,I,TUBERCULOSIS,COV
ICD9CMP,011.00,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,011.00,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,011.00,I_TUBERCULOSIS_COV,Tuberculosis,-,-,narrow,I,TUBERCULOSIS,COV
ICD9CMP,011.01,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,011.01,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,011.01,I_TUBERCULOSIS_COV,Tuberculosis,-,-,narrow,I,TUBERCULOSIS,COV
ICD9CMP,011.02,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,011.02,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,011.02,I_TUBERCULOSIS_COV,Tuberculosis,-,-,narrow,I,TUBERCULOSIS,COV
ICD9CMP,011.03,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,011.03,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,011.03,I_TUBERCULOSIS_COV,Tuberculosis,-,-,narrow,I,TUBERCULOSIS,COV
ICD9CMP,011.04,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,011.04,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,011.04,I_TUBERCULOSIS_COV,Tuberculosis,-,-,narrow,I,TUBERCULOSIS,COV
ICD9CMP,011.05,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,011.05,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,011.05,I_TUBERCULOSIS_COV,Tuberculosis,-,-,narrow,I,TUBERCULOSIS,COV
ICD9CMP,011.06,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,011.06,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,011.06,I_TUBERCULOSIS_COV,Tuberculosis,-,-,narrow,I,TUBERCULOSIS,COV
ICD9CMP,011.1,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,011.1,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,011.1,I_TUBERCULOSIS_COV,Tuberculosis,-,-,narrow,I,TUBERCULOSIS,COV
ICD9CMP,011.10,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,011.10,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,011.10,I_TUBERCULOSIS_COV,Tuberculosis,-,-,narrow,I,TUBERCULOSIS,COV
ICD9CMP,011.11,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,011.11,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,011.11,I_TUBERCULOSIS_COV,Tuberculosis,-,-,narrow,I,TUBERCULOSIS,COV
ICD9CMP,011.12,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,011.12,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,011.12,I_TUBERCULOSIS_COV,Tuberculosis,-,-,narrow,I,TUBERCULOSIS,COV
ICD9CMP,011.13,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,011.13,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,011.13,I_TUBERCULOSIS_COV,Tuberculosis,-,-,narrow,I,TUBERCULOSIS,COV
ICD9CMP,011.14,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,011.14,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,011.14,I_TUBERCULOSIS_COV,Tuberculosis,-,-,narrow,I,TUBERCULOSIS,COV
ICD9CMP,011.15,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,011.15,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,011.15,I_TUBERCULOSIS_COV,Tuberculosis,-,-,narrow,I,TUBERCULOSIS,COV
ICD9CMP,011.16,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,011.16,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,011.16,I_TUBERCULOSIS_COV,Tuberculosis,-,-,narrow,I,TUBERCULOSIS,COV
ICD9CMP,011.2,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,011.2,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,011.2,I_TUBERCULOSIS_COV,Tuberculosis,-,-,narrow,I,TUBERCULOSIS,COV
ICD9CMP,011.20,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,011.20,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,011.20,I_TUBERCULOSIS_COV,Tuberculosis,-,-,narrow,I,TUBERCULOSIS,COV
ICD9CMP,011.21,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,011.21,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,011.21,I_TUBERCULOSIS_COV,Tuberculosis,-,-,narrow,I,TUBERCULOSIS,COV
ICD9CMP,011.22,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,011.22,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,011.22,I_TUBERCULOSIS_COV,Tuberculosis,-,-,narrow,I,TUBERCULOSIS,COV
ICD9CMP,011.23,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,011.23,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,011.23,I_TUBERCULOSIS_COV,Tuberculosis,-,-,narrow,I,TUBERCULOSIS,COV
ICD9CMP,011.24,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,011.24,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,011.24,I_TUBERCULOSIS_COV,Tuberculosis,-,-,narrow,I,TUBERCULOSIS,COV
ICD9CMP,011.25,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,011.25,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,011.25,I_TUBERCULOSIS_COV,Tuberculosis,-,-,narrow,I,TUBERCULOSIS,COV
ICD9CMP,011.26,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,011.26,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,011.26,I_TUBERCULOSIS_COV,Tuberculosis,-,-,narrow,I,TUBERCULOSIS,COV
ICD9CMP,011.3,I_BACTERIALINFEC_AESI,Bacterial infections,C0152573,Tuberculosis of bronchus,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,011.3,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,011.3,I_TUBERCULOSIS_COV,Tuberculosis,-,-,narrow,I,TUBERCULOSIS,COV
ICD9CMP,011.30,I_BACTERIALINFEC_AESI,Bacterial infections,C0152573,Tuberculosis of bronchus,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,011.30,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,011.30,I_TUBERCULOSIS_COV,Tuberculosis,-,-,narrow,I,TUBERCULOSIS,COV
ICD9CMP,011.31,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,011.31,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,011.31,I_TUBERCULOSIS_COV,Tuberculosis,-,-,narrow,I,TUBERCULOSIS,COV
ICD9CMP,011.32,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,011.32,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,011.32,I_TUBERCULOSIS_COV,Tuberculosis,-,-,narrow,I,TUBERCULOSIS,COV
ICD9CMP,011.33,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,011.33,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,011.33,I_TUBERCULOSIS_COV,Tuberculosis,-,-,narrow,I,TUBERCULOSIS,COV
ICD9CMP,011.34,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,011.34,I_OTHERINFPARASITIS_COV,Other Infectious or Parasitic Disease Complicating Pregnancy,-,-,narrow,I,OTHERINFPARASITIS,COV
ICD9CMP,011.34,I_TUBERCULOSIS_COV,Tuberculosis,-,-,narrow,I,TUBERCULOSIS,COV
ICD9CMP,011.35,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
